gamma_version,scenario,duration_s,temperature_c,strategy,baseline_strategy,total_requests,cache_hits,cache_misses,hit_rate_pct,hit_latency_mean_ms,hit_latency_median_ms,miss_latency_mean_ms,miss_latency_median_ms,cvm_ratio,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_std_ms,baseline_latency_mean_ms,baseline_latency_p50_ms,speedup_factor,memory_peak_mb,memory_mean_mb,memory_final_mb,cache_size_peak,cache_size_mean,cache_size_final,energy_mean,energy_total,coverage_mean_pct,coverage_final_pct
V2 (New Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,107,13,89.16666666666667,1.4330961993921583,1.3785362243652344,37650.559700452366,30850.292682647705,3.806307823293633e-05,1.4164447784423828,30932.992315292355,51433.65347623825,4080.0884783267975,12144.006768129006,31579.621559381485,28812.735080718994,7.7399354761865276,,,,,,,19.876008342326962,2385.1210010792356,48.14927168031948,50.90909090909091
V2 (New Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (LINEAR),BASELINE LINEAR,120,107,13,89.16666666666667,1.7961564465103863,1.6832351684570312,193.7587811396672,190.15049934387207,0.009270064747236732,1.8351078033447266,190.3293251991272,198.83582592010498,22.59210745493571,59.963373964665706,171.78662220637003,168.89357566833496,7.603833442676004,,,,,,,22.420766356521572,2690.4919627825884,48.14927168031948,50.90909090909091
V2 (New Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (GA),GENETIC ALGORITHM,120,107,13,89.16666666666667,0.8971111796726691,0.8649826049804688,105.19821827228253,106.02784156799316,0.008527817242595244,0.8691549301147461,106.0316801071167,109.72708702087402,12.19639778137207,32.5776764104207,97.78204560279846,97.64182567596436,8.017288986108994,,,,,,,21.599175075085494,2591.9010090102593,48.14927168031948,50.90909090909091
V2 (New Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,107,13,89.16666666666667,0.9181900559184707,0.8974075317382812,114.40420150756836,114.42208290100098,0.00802584209162745,0.9045600891113281,114.42761421203613,118.57609510421753,13.212507963180542,35.433069012581484,108.7976594765981,108.9857816696167,8.234444193319382,,,,,,,19.541181011350417,2344.94172136205,48.14927168031948,50.90909090909091
V2 (New Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,85,35,70.83333333333334,1.1346788967356962,1.1203289031982422,34783.29022271292,32236.382722854614,3.2621379101013546e-05,1.3430118560791016,36161.81437969208,57066.24314069748,10145.930045843124,16394.589669836427,33438.55592608452,30185.447216033936,3.2957605438827744,,,,,,,18.228322964747598,2187.398755769712,16.76587192710134,18.289989874062446
V2 (New Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (LINEAR),BASELINE LINEAR,120,85,35,70.83333333333334,1.4299925635842716,1.3077259063720703,206.05530738830566,196.12383842468262,0.006939848246128838,1.5223026275634766,225.0765085220337,261.816782951355,61.11237605412801,94.41889422566906,178.89757951100668,172.74606227874756,2.9273543439475307,,,,,,,20.519758721789973,2462.371046614797,16.76587192710134,18.289989874062446
V2 (New Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (GA),GENETIC ALGORITHM,120,86,34,71.66666666666667,0.6054806154827739,0.5896091461181641,102.38261783824248,101.84347629547119,0.005913900506425727,0.6073713302612305,106.50073289871216,109.66518878936768,29.442336161931355,46.108842061107744,99.58516160647075,99.1138219833374,3.382379749309206,,,,,,,19.552393381835447,2346.287205820254,16.76587192710134,18.289989874062446
V2 (New Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,85,35,70.83333333333334,0.6671709172865924,0.6411075592041016,113.38522774832589,113.12341690063477,0.005884107926011932,0.6797313690185547,115.76738357543945,117.47962474822998,33.54327082633972,51.47221190055771,109.29321646690369,109.20453071594238,3.258275468505642,,,,,,,17.845615958447357,2141.473915013683,16.76587192710134,18.289989874062446
V2 (New Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,101,19,84.16666666666667,330.94372607693816,1.5845298767089844,37597.24394898666,33260.72978973389,0.008802340047211305,1.664876937866211,33893.116426467896,55119.17065858841,6231.4412613709765,14466.705784025724,34153.19129427274,30381.365060806274,5.480785240806188,,,,,,,17.622357290330402,2114.6828748396483,57.7588383838384,58.333333333333336
V2 (New Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (LINEAR),BASELINE LINEAR,120,100,20,83.33333333333334,1.9671440124511719,1.8333196640014648,204.48206663131714,201.0507583618164,0.009620129749558668,2.0197629928588867,202.45648622512817,240.28117179870605,35.7196311155955,76.1317277579113,180.72473605473837,173.05481433868408,5.059535342620949,,,,,,,19.70124570715196,2364.149484858235,57.7588383838384,58.333333333333336
V2 (New Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (GA),GENETIC ALGORITHM,120,99,21,82.5,1.0159786301429825,0.9584426879882812,113.62374396551223,112.31350898742676,0.00894160493823684,0.9760856628417969,116.32580757141113,124.52092409133913,20.7223375638326,43.04794510213233,98.56977264086406,97.87619113922119,4.75669177462398,,,,,,,18.890075745301782,2266.809089436214,57.7588383838384,58.333333333333336
V2 (New Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,100,20,83.33333333333334,1.0852789878845215,1.0324716567993164,118.74096393585205,117.82348155975342,0.009139886959910705,1.058816909790039,120.11009454727173,124.78965282440186,20.694559812545776,44.05724656893436,109.26635066668193,108.98172855377197,5.279955295325528,,,,,,,17.383923509921985,2086.070821190638,57.7588383838384,58.333333333333336
